repository_key (Organisation) Record Title;idno;idMedium;number of volume;support;extent;leaf dimensions : height (mm);leaf dimensions : width (mm);justification : height (mm);justification : width (mm);columns;writtenLines;writtenLines (notes);writtenLines (note);script type;formality;handNote;scriptNote;note (deco);origDate;origDate : from;origDate : to;origDate : proposed date;origPlace (relationship marker) Record Title;iiif manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0008 (1376);5530;;parchment;176 ff. (CCLL);160;118;;;1;18;;;Textualis;Libraria;;;Lettres ornées (Defuncti);;1101;1200;1101-1200 (Medium) From : 1180 (CCLL) To : 1200 (CCLL);Trier (Place);https://bvmm.irht.cnrs.fr/iiif/181/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0062 (1423);5547;;parchment;222 f.;93;68;;;1;10;;;Textualis;Formata;;;52 miniatures, bordures, lettres ornées (Virgo);;1301;1325;14e s. (début) (Medium) From : 1300 (CCLL) To : 1320 (CCLL);Flandre (Place);https://bvmm.irht.cnrs.fr/iiif/228/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0063 (1366);100022667;;parchment;182 f.;100;73;;;1;14;;;Textualis;Formata;;;14 miniatures, bordures, lettres ornées (Virgo);;1425;1450;15e s. (deuxième quart) (Medium) From : 1300 (CCLL) To : 1400 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/229/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0065 (1284);5549;;parchment;205 f.;290;210;;;2;22;;;Textualis;Formata;;;131 miniatures, bordures, lettres historiées et ornées (Virgo);;1403;1423;1410-1430 (Stutzmann) 15e s. (ca. 1416) (Medium) From : 1416 (CCLL) To : 1416 (CCLL);Paris (Place)|Bourges (Place)|Savoie (Place);https://bvmm.irht.cnrs.fr/iiif/22470/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0066 (1383);100022668;;parchment;154 f.;200;140;;;1;17;;;Textualis;Formata;;;;;1405;1425;1410-1430 (Stutzmann) 15e s. (ca. 1415) (Medium) From : 1400 (CCLL) To : 1420 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/201/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0067 (1371);100022669;;parchment;172 f.;220;153;;;1;15;;;Textualis;Formata;;;37 miniatures, bordures, lettres ornées (Virgo);;1410;1430;15e s. (ca. 1415) (Medium) From : 1380 (CCLL) To : 1420 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/226/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0068 (1141);100022670;;parchment;310 f.;95;65;;;1;13;;;Textualis;Formata;;;;;1480;1530;c.1490-1520;;https://bvmm.irht.cnrs.fr/iiif/227/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0069 (1456);100022671;;parchment;151 f.;180;133;;;1;12;;;Textualis;Formata;;;21 miniatures, bordures, lettres ornées (Virgo);;1422;1442;1430-1445 (Stutzmann) 15e s. (1420-1445) (Medium) From : 1430 (CCLL) To : 1435 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/203/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0070 (1457);100022672;;parchment;96 f.;175;128;;;1;14;;;Textualis;Formata;;;6 miniatures, bordures, lettres ornées (Defuncti);;1420;1440;1401-1425 (Stutzmann) 15e s. (premier quart) (Medium) From : 1400 (CCLL) To : 1500 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/202/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0073 (1355);100022675;;parchment;95 f.;200;140;;;1;15;;;Textualis;Formata;;;3 miniatures, bordures, lettres ornées (Virgo);;1430;1450;1420-1450 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place)|France (Place);https://bvmm.irht.cnrs.fr/iiif/233/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0077 (1595);100022677;;parchment;184 f.;180;125;;;1;18;;;Textualis;Formata;;;;;1460;1520;c.1470-1510;;https://bvmm.irht.cnrs.fr/iiif/232/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0078 (1567);100022678;;parchment;194 f.|144 f.;190;120;;;1;20;;;Cursiva;Formata;;;18 miniatures, bordures, lettres ornées (Virgo);;1480;1490;15e s. (ca. 1480-1490) (Medium) From : 1501 (ILT) To : 1510 (ILT) From : 1500 (CCLL) To : 1520 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/204/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0079 (1397);100022679;;parchment;146 f.;190;135;;;1;22;;;Cursiva;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1490 (CCLL) To : 1490 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/234/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0080 (1399);100022680;;parchment;181 f.;107;80;;;1;15;;;Textualis;Formata;;;15 miniatures, bordures, lettres ornées (Virgo);;1480;1500;15e s.,16e s. (1480-1500 circa) (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/235/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0081 (1057);100022681;;parchment;136 f.;187;122;;;1;22;;;Textualis;Formata;;;;;1480;1500;15e s. (ca. 1490) (Medium) From : 1495 (CCLL) To : 1495 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/237/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0082 (1400);100022682;;parchment;140 f.;190;125;;;1;21;;;Textualis;Formata;;;;;1480;1500;15e s. (ca. 1490) (Medium) From : 1497 (CCLL) To : 1497 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/238/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0083 (1385);100022683;;parchment;142 f.;72;55;;;1;14;;;Textualis;Formata;;;;;1485;1505;15e s. (ca. 1495) (Medium) From : 1495 (CCLL) To : 1495 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/239/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0084 (0071);100022684;;parchment;238 f.;90;60;;;1;12;;;Textualis;Formata;;;;;1480;1500;15e s. (fin) (Medium) From : 1480 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/240/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0085 (1175);100022685;;parchment;163 f.;183;135;;;1;21;;;Cursiva;Formata;;;;;1461;1500;c.1461-1500 (after 1461);Valenciennes (Place);https://bvmm.irht.cnrs.fr/iiif/241/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0086 (1178);5552;;parchment;206 f.;228;160;;;1;16;;;Textualis;Formata;;;;;1501;1520;c.1500-1520;;https://bvmm.irht.cnrs.fr/iiif/22387/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0087 (1557);100022686;;parchment;128 f.;155;100;;;1;22;;;Humanistique;Formata;;;;;1501;1600;1501-1600 (Medium) From : 1500 (CCLL) To : 1600 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/242/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0088 (1123);100022687;;parchment;216 p.;153;98;;;1;17;;;Humanistique cursive;;;;;1647;;;17e s. (1647) (Medium);;https://bvmm.irht.cnrs.fr/iiif/243/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0094 (1285);100022693;;parchment;400 p.;147;95;;;1;16;;;Humanistique cursive;;;;;;1601;1700;17e s. (Medium);;https://bvmm.irht.cnrs.fr/iiif/248/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0117 (1454);100022711;;parchment;86 f.;170;115;;;1;16;;;Textualis;;;;;1842;;;19e s. (1842) (Medium);;https://bvmm.irht.cnrs.fr/iiif/265/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);0408 (1574);100022756;;parchment;6 f.;;;;;;;;;;;;;;;1650;1750;16e s.,17e s. (Medium);;https://bvmm.irht.cnrs.fr/iiif/22264/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);1476 (1943);5769;;parchment;118 f.;210;140;;;1;20;;;Hybrida;Formata;;;12 miniatures (f. 5v°, 13v°, 27v°, 36v°, 40v°, 44v°, 48v°, 52v°, 58v°, 62v°, 78, 79) bordures, lettres ornées (Virgo);1549;;;16e s. (1549) (Medium) From : 1549 (CCLL) To : 1549 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/460/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);1480 (1966);100022958;;parchment;131 f.;155;110;;;1;16;;;Textualis;Formata;;;;;1451;1475;15e s. (troisième quart) (Medium);;https://bvmm.irht.cnrs.fr/iiif/459/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);Bernier-I-C-028;100041221;;parchment;157 f.;192;134;;;1;;;;;;;;8 miniatures, bordures, lettres ornées (Virgo);;1440;1460;15e s. (ca. 1450) (Medium) From : 1450 (CCLL) To : 1450 (CCLL);Paris (Place)|Paris (Place);https://bvmm.irht.cnrs.fr/iiif/22223/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);Bernier-I-D-041;100041222;;parchment;156 f.;170;120;;;1;;;;;;;;29 miniatures, bordures, lettres ornées (Virgo);;1501;1600;1501-1600 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/22233/manifest
Chantilly, Bibliothèque et archives du musée Condé (Organisation);Bernier-I-E-009;100041223;;mixed;150 f.;150;100;;;;;;;;;;;;1619;;;17e s. (1619) (Medium);;https://bvmm.irht.cnrs.fr/iiif/22238/manifest
Chartres, Bibliothèque municipale (Organisation);929;100042990;;parchment;134 f.;;;;;;;;;;;;;;;1401;1500;15e s. (ca. 1470-1480) (Medium);;https://bvmm.irht.cnrs.fr/iiif/23221/manifest
Chartres, Bibliothèque municipale (Organisation);0547 (0493);100022323;;parchment;216 f.;185;135;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/23244/manifest
Chartres, Bibliothèque municipale (Organisation);nouv. acq. 167;46310;;parchment;130 f.;240;147;;;1;18;;;Textualis;Formata;;;12 miniatures (f. 8, 14v°, 24, 33v°, 44v°, 48v°, 53, 57, 61, 67v°, 72, 88), bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/2704/manifest
Chartres, Bibliothèque municipale (Organisation);nouv. acq. 168;46311;;parchment;140 ff. (CCLL);185;125;;;1;14;;;Textualis;Formata;;;18 miniatures (f. 13, 15, 17, 19, 21, 32, 48, 50, 52, 58, 62, 66, 70, 74, 80, 81, 99, 134), bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1420 (CCLL);Angers (Place);https://bvmm.irht.cnrs.fr/iiif/998/manifest
Chartres, Bibliothèque municipale (Organisation);nouv. acq. 313;100013259;;parchment;145 f.;174;120;;;1;15;;;Textualis;Formata;;;Lettres filigranées (Virgo);;1401;1500;1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL);Chartres (Place);https://bvmm.irht.cnrs.fr/iiif/2752/manifest
Château-Gontier, Bibliothèque municipale (Organisation);14;100042254;;parchment;135 f.;165;120;;;1;19;;;Hybrida;Formata;;;;;1480;1520;1401-1600 (Medium);;https://bvmm.irht.cnrs.fr/iiif/1231/manifest
Chaumont, Bibliothèque municipale (Organisation);0034 (027);100004972;;parchment;88 f.;194;124;;;1;27;;;Textualis;Formata;;;18 miniatures (f. 6, 7, 7v°, 8v°, 9, 11, 12, 17, 22v°, 23v°, 26, 29, 31v°, 34, 38v°, 41v°, 50, 59), bordures, lettres ornées (Virgo);;1480;1500;15e s. (fin) (Medium) From : 1490 (CCLL) To : 1490 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/5092/manifest
Coutances, Bibliothèque municipale (Organisation);4;100023819;;parchment;106 f.;108;80;;;1;12;;;Textualis;Formata;;;;;1270;1280;13e s. (ca. 1270-1280) + 14e s. (seconde moitié) (Medium) From : 1300 (CCLL) To : 1300 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/162/manifest
Dieppe, Château-Musée (Organisation);inv. 0978.4.4;100043000;;parchment;137 f.;160;120;;;;;;;;;;;;;1460;1500;c.1470-1490;;https://bvmm.irht.cnrs.fr/iiif/20455/manifest
Dijon, Bibliothèque municipale (Organisation);2969;7285;;parchment;148 ff. (CCLL);212;145;;;1;15;;;Textualis;Formata;;;6 miniatures (f. 13, 19, 87, 107, 112, 117), bordures, lettres ornées, grotesques (Virgo);;1466;1500;From : 1480 (CCLL) To : 1500 (CCLL);Bourgogne (Place);https://bvmm.irht.cnrs.fr/iiif/32619/manifest
Dijon, Bibliothèque municipale (Organisation);2978;7291;;parchment;121 ff. (CCLL);213;160;;;1;16;;;Textualis;Formata;;;5 miniatures (f. 11, 52, 55, 58, 76), bordures, lettres ornées (Virgo);;1440;1470;From : 1480 (CCLL) To : 1490 (CCLL);Bourgogne (Place);https://bvmm.irht.cnrs.fr/iiif/32620/manifest
Douai, Bibliothèque municipale (Organisation);178;7425;;parchment;99 f.;200;140;;;1;17;;;Textualis;Formata;;;Bordures, lettres ornées (Virgo);;1440;1460;15e s. (milieu) (Medium) From : 1480 (CCLL) To : 1500 (CCLL);Belgique (Place);https://bvmm.irht.cnrs.fr/iiif/21525/manifest
Douai, Bibliothèque municipale (Organisation);179;7426;;parchment;187 f.;180;130;;;1;15;;;Textualis;Formata;;;10 miniatures (f. 9v°, 11v°, 13v°, 15v°, 18v°, 33v°, 102v°, 109v°, 130v°, 172v°), bordures, lettres ornées et filigranées (Virgo);;1430;1450;c.1440;Flandre (Place);https://bvmm.irht.cnrs.fr/iiif/21524/manifest
Douai, Bibliothèque municipale (Organisation);182;7427;;parchment;166 f.;190;140;;;1;18;;;Cursiva;Formata;;;13 miniatures (f. 124, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156v°, 158), bordures, lettres ornées (Virgo);;1451;1475;15e s. (troisième quart) (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/21523/manifest
Douai, Bibliothèque municipale (Organisation);183;7428;;parchment;141 f.;190;140;;;1;15;;;Textualis;Formata;;;;;1401;1425;15e s. (début) (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/21522/manifest
Douai, Bibliothèque municipale (Organisation);184;7429;;parchment;181 f.;180;120;;;1;16;;;Textualis;Formata;;;6 miniatures, bordures, lettres ornées (Virgo);;1451;1475;15e s. (troisième quart) (Medium) From : 1470 (CCLL) To : 1470 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/21521/manifest
Douai, Bibliothèque municipale (Organisation);188;7430;;parchment;154 f.;220;140;;;1;14;;;Textualis;Formata;;;13 miniatures (f. 15v°, 19v°, 35v°, 50v°, 52, 58v°, 80v°, 102v°, 108v°, 112v°, 116v°, 120v°, 128v°), bordures, lettres ornées (Virgo);;1420;1440;1425-1445 (Stutzmann) 15e s. (1425-1445) (Medium) From : 1400 (CCLL) To : 1500 (CCLL);Rouen (Place)|France, Nord (Place);https://bvmm.irht.cnrs.fr/iiif/21520/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.002;100043002;;parchment;181 f.;200;125|150;;;;;;;;;;;;;1460;1490;c.1470-1480;;https://bvmm.irht.cnrs.fr/iiif/20234/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.003;100043009;;parchment;102 f.;165;120;;;;;;;;;;;;;1450;1470;c.1460;;https://bvmm.irht.cnrs.fr/iiif/20269/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.007;100050640;;parchment;114 f.;190;130;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/20235/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.009;100043010;;parchment;52 f.;190;130;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/20237/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.011;100043003;;parchment;163 f.;180;130;;;;;;;;;;;;;1476;1500;c.1475-1500;;https://bvmm.irht.cnrs.fr/iiif/20239/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.012;100043005;;parchment;106 f.;150;110;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/20240/manifest
Fécamp, Musée du Palais Bénédictine (Organisation);A.10.013;100050639;;parchment;74 f.;180;120;;;;;;;;;;;;;1430;1470;c. 1440-1460;;https://bvmm.irht.cnrs.fr/iiif/20241/manifest
Langres, Bibliothèque municipale (Organisation);273;100035144;;parchment;145 f.;164;118;;;1;14;;;Textualis;Formata;;;;;1480;1500;15e s. (fin) (Medium) From : 1480 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/35/manifest
Langres, Bibliothèque municipale (Organisation);360;100038491;;parchment;186 f.;218;148;;;1;14;;;Textualis;Formata;;;;;1470;1490;15e s. (ca. 1470-1480) (Medium);;https://bvmm.irht.cnrs.fr/iiif/36/manifest
Langres, Bibliothèque municipale (Organisation);0004 (0030);41878;;parchment;153 f.;210;143;;;1;21;;;Cursiva;Formata;;;30 miniatures (f. 14, 15v°, 17, 18v°, 20, 32v°, 40, 44, 47v°, 50v°, 53v°, 58, 63, 69v°, 76, 90v°, 120, 128v°, 131, 134v°, 138, 141, 144, 145, 146, 147, 148, 150, 150v°, 156), bordures, lettres ornées (Virgo);;1475;1500;1475-1500 (Medium) From : 1480 (CCLL) To : 1500 (CCLL);Bourgogne (Place);https://bvmm.irht.cnrs.fr/iiif/4940/manifest
Le Mans, Bibliothèque municipale (Organisation);127;6318;;parchment;110 f.;217;135;;;1;20;;;Cursiva;Formata;;;11 miniatures (f. 7v°, 16, 25v°, 29, 32v°, 38, 43v°, 60v°, 63, 65v°, 82v°), bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1480 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/2937/manifest
Le Mans, Bibliothèque municipale (Organisation);186;37870;;parchment;63 f.;175;130;;;1;17;;;Textualis;Formata;;;10 miniatures (f. 1, 15, 18, 20, 22, 24, 28, 39v°, 41v°, 43v°), bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/2948/manifest
Le Mans, Bibliothèque municipale (Organisation);371;100029131;;parchment;8 f.;173;130;;;;;;;Textualis;Formata;;;;;1501;1600;1501-1600 (Medium);;https://bvmm.irht.cnrs.fr/iiif/3121/manifest
Le Mans, Bibliothèque municipale (Organisation);519;100013629;;parchment;;;;;;1;15;;;Cursiva;Formata;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/3284/manifest
Le Mans, Bibliothèque municipale (Organisation);688;37887;;parchment;40 f.;;;;;1;16;;;Textualis;Formata;;;;;1430;1450;1435-1440 (Stutzmann) 1425-1450 (Medium) From : 1435 (CCLL) To : 1440 (CCLL);Lyon (Place);https://bvmm.irht.cnrs.fr/iiif/3287/manifest
Le Mans, Bibliothèque municipale (Organisation);700;100013881;;parchment;158 f.;155;110;;;1;12;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1480 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/3289/manifest
Le Puy-en-Velay, Bibliothèque diocésaine (Organisation);non coté 019;100020098;;parchment;229 f.;145;120;;;;;;;;;;;;;1380;1400;1386-1400 (Medium);;https://bvmm.irht.cnrs.fr/iiif/32280/manifest
Le Puy-en-Velay, Bibliothèque diocésaine (Organisation);non coté 023;100020120;;parchment;137 f.;110;80;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/22585/manifest
Le Puy-en-Velay, Bibliothèque diocésaine (Organisation);non coté 025;100020118;;parchment;166 f.;125;100;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/32275/manifest
Le Puy-en-Velay, Bibliothèque municipale (Organisation);Cortial 176;40735;;parchment;218 f.;;;;;;;;;;;;;;;1301;1500;;;https://bvmm.irht.cnrs.fr/iiif/32235/manifest
Lyon, Bibliothèque municipale (Organisation);0586 (0502);35459;;parchment;086 ff. (CCLL);176;122;;;1;17;;;Cursiva;Formata;;;5 miniatures (f. 19, 52, 65, 68, 71), bordures, lettres ornées (Virgo);;1480;1520;1401-1600 (Medium) From : 1480 (CCLL) To : 1520 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/32622/manifest
Mâcon, Bibliothèque municipale (Organisation);101;40090;;paper;306 f.;145;105;;;1;24;;;Semihybrida;Currens;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/18815/manifest
Melun, Bibliothèque municipale (Organisation);10;100022856;;parchment;93 f.;174;115;;;1;20;;;Textualis;Formata;;;8 miniatures (f. 11v°, 21, 37, 50, 53v°, 55, 69, 89), bordures, lettres ornées (Virgo);;1480;1500;15e s. (fin) (Medium) From : 1480 (CCLL) To : 1500 (CCLL);Rouen (Place);https://bvmm.irht.cnrs.fr/iiif/4537/manifest
Melun, Musée d'Art et d'Histoire (Organisation);inv. 967.47;100024264;;parchment;139 f.;154;115;;;1;14;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/4531/manifest
Metz, Bibliothèque municipale (Organisation);570;100030887;;paper;;;;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/24280/manifest
Metz, Bibliothèque municipale (Organisation);576;100050907;;paper;;;;;;;;;;;;;;;;1501;1600;1501-1600 (Medium);;https://bvmm.irht.cnrs.fr/iiif/23148/manifest
Metz, Bibliothèque municipale (Organisation);598;100030904;;paper;;;;;;1;;;;;;;;;;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/23193/manifest
Metz, Bibliothèque municipale (Organisation);600;15230;;paper;190 f.;;;;;;;;;;;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/23198/manifest
Metz, Bibliothèque municipale (Organisation);1484;100058617;;;;;;;;;;;;;;;;;;1301;1400;;;https://bvmm.irht.cnrs.fr/iiif/23251/manifest
Metz, Bibliothèque municipale (Organisation);1581;100041562;;parchment;301 f.;;;;;;;;;;;;;Late style of the Bedford Master;;1440;1460;1425-1450 (Stutzmann) 15e s. (deuxième quart) (Medium);Metz (Place)|Lorraine (Place);https://bvmm.irht.cnrs.fr/iiif/23380/manifest
Metz, Bibliothèque municipale (Organisation);1588;100041561;;parchment;258 f.;100;135;;;1;;;;;;;;;;1300;1310;13e s. (ca. 1295?) (Medium) From : 1280 (CCLL) To : 1290 (CCLL);Metz (Place);https://bvmm.irht.cnrs.fr/iiif/23851/manifest
Metz, Bibliothèque municipale (Organisation);1598;100039751;;parchment;304 f.;125;85;;;;;;;;;;;;;1440;1460;1435-1447 + 1340-1350 (Stutzmann) 15e s. (1435-1447) + 14e s. (1340-1350) (Medium);Metz (Place)|Lorraine (Place);https://bvmm.irht.cnrs.fr/iiif/23852/manifest
Montbrison, Musée d'Allard (Organisation);ms. A;41423;;parchment;126 f.;110;90;;;1;17;;;Cursiva;Formata;;;Bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/34936/manifest
Montbrison, Musée d'Allard (Organisation);ms. B;41894;;parchment;173 f.;160;120;;;1;12;;;Textualis;Formata;;;Bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/34951/manifest
Montbrison, Musée d'Allard (Organisation);ms. C;41895;;parchment;192 f.;140;90;;;1;13;;;Hybrida antiquior;Formata;;;1 miniature (f. 1), lettres ornées (Virgo);;1500;1525;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/34952/manifest
Montbrison, Musée d'Allard (Organisation);ms. D;41896;;parchment;274 f.;135;100;;;1;13;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/34953/manifest
Nantes, Bibliothèque municipale (Organisation);0018 (lat. 0018);41039;;parchment;113 ff. (+29bis, 33 bis) (CCLL);120;80;;;1;;;;;;;;;;1471;1500;15e s. (ca. 1470-1480);;https://bvmm.irht.cnrs.fr/iiif/4394/manifest
Nantes, Bibliothèque municipale (Organisation);3072;45811;;parchment;197 f.;;;;;1;15;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1410 (CCLL) To : 1420 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/4297/manifest
Nantes, Bibliothèque municipale (Organisation);3340;100047765;;parchment;218 f.;210;150;;;1;16;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium);;https://bvmm.irht.cnrs.fr/iiif/4408/manifest
Nantes, Bibliothèque municipale (Organisation);0019 (lat. 0019);41040;;parchment;159 f.;120;90;;;1;18;;;Cursiva;Formata;;;3 miniatures (f. 64v°, 77v°, 98v°), bordures, 1 lettre historiée (f. 20), lettres ornées et filigranées (Virgo);;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/4204/manifest
Nantes, Bibliothèque municipale (Organisation);0020 (lat. 0020);41041;;parchment;280 p.;192;132;;;1;14;;;Textualis;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1380 (CCLL) To : 1420 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/4203/manifest
Nantes, Bibliothèque municipale (Organisation);0021 (lat. 0021);41042;;parchment;183 f.;127;87;;;1;15;;;Cursiva;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1450 (CCLL) To : 1460 (CCLL);;https://bvmm.irht.cnrs.fr/iiif/4202/manifest
Nantes, Bibliothèque municipale (Organisation);0022 (lat. 0022);41048;;parchment;307 f.;183;125;;;1;16;;;Cursiva;Formata;;;;;1401;1500;1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/4201/manifest
Nantes, Musée Dobrée (Organisation);9;43213;;parchment;155 f.;180;125;;;1;16;;;Textualis;Formata;;;13 miniatures, bordures, lettres ornées (Virgo);;1410;1430;15e s. (ca. 1415) (Medium) From : 1347 (CCLL) To : 1400 (CCLL);France (Place);https://bvmm.irht.cnrs.fr/iiif/4318/manifest
Nantes, Musée Dobrée (Organisation);13;43216;;parchment;212 f.;180;120;;;1;16;;;Textualis;Formata;;;29 miniatures, bordures, lettres ornées (Virgo);;1451;1500;15e s. (seconde moitié) (Medium) From : 1485 (CCLL) To : 1490 (CCLL);Paris (Place);https://bvmm.irht.cnrs.fr/iiif/4323/manifest
Nantes, Musée Dobrée (Organisation);27;43221;;parchment;30 f.;153;100;;;1;20;;;Textualis;Libraria;;;9 lettres historiées (f. 1, 4v°, 5v°, 6v°, 7, 7v°, 9, 12, 12v°) (Virgo);;1201;1300;1201-1300 (Medium) From : 1250 (CCLL) To : 1275 (CCLL);France, Nord (Place);https://bvmm.irht.cnrs.fr/iiif/4328/manifest
