Column,Manuscript H-ID,repository_key (Organisation) Record Title,idno,idMedium,support,extent,dimensions (h x w),justification : height (mm),justification : width (mm),columns,writtenLines,writtenLines (notes),writtenLines (note),script type,formality,scriptNote,note (deco),origDate,origDate : from,origDate : to,origDate : proposed date,origPlace (relationship marker) H-ID,iiif manifest
391,2354,"Paris, Bibliothèque nationale de France, Manuscrits",fr. 01869,100079509,,17,196 x 125,,,1.0,,,,Cursiva,Libraria,"d'après 4r, en français, commanditaire femme en prière",Maître de Spencer 6   (Enlumineur),,1490,1510,,Bourges,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52506271h/manifest.json
392,2355,"Paris, Bibliothèque nationale de Fance, Manusrits",fr. 01874,100064001,,94,165 x 115,,,1.0,22.0,,,Textualis meridionalis,Libraria,,"12 miniatures (f. 13, 18v°, 23v°, 29, 31, 33v°, 37v°, 40v°, 62, 65v°, 84), bordures, lettres ornées, initiales rouges et bleues (Defuncti)",,1475,1500,From : 1470 (CCLL) To : 1500 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9007441s/manifest.json
393,2356,"Paris, Bibliothèqe nationale de France, Manuscrits",fr. 02224,100125625,,9,238 x 145,,,1.0,,,,Hybrida,Formata,g humanistique,"9r, légende de personnage en lettres capitales",,1501,1525,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85397092/manifest.json
394,2357,"Paris, Bibliothèque niationale de France, Manuscrits",fr. 05661,100064107,,9,240 x 150,115,80,1.0,22.0,,,Cursiva,Formata,,,1493,,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059265h/manifest.json
395,2358,"Paris, Bibliothèque nahtionale de France, Manuscrits",fr. 13167,100080146,,144,175 x 120,,,1.0,19.0,,,Cursiva,Libraria,,"Phylactère textualis: 17r, Annonciation ""Ave…""; 39r, ""Gloria in excelsis Deo"".
Décor marginal est plutôt milieu XVe s. (1440-1470), avec ses feuilles de lierre à l'or bruni et ses rinceaux bleus et jaunes. Une réalisation de qualité médiocre, mais des|14 miniatures (f. 17, 27, 38, 41, 43v°, 46, 49, 53, 56v°, 61v°, 75v°, 77, 116, 136), bordures, 1initiale historiée (f. 109v°), lettres ornées (Defuncti)",,1485,1515,From : 1480 (CCLL) To : 1520 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9061586h/manifest.json
396,2362,"Paris, Bibiothèque npationale de France, Manucrits",lat. 00757,100061598,,443|450 f.,265 x 207,,,2.0,,,,Textualis meridionalis,Formata,Rotunda,Atelier de Giovanni di Benedetto da Como (Enlumineur). (Leroquais date de 1380),,1375,1400,1380 (ILT) From : 1380 (ILT) To : 1380 (ILT) From : 1385 (CCLL) To : 1390 (CCLL),Pavia|Milano,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8470209d/manifest.json
397,2363,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 00774A,100077925,parchment,103 ff. (CCLL),302 x 218,,,2.0,,,,,,,Initiales rouges et bleues (Virgo),,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100361075/manifest.json
398,2364,"Pbaris, Bibliothèquem natioale de Frace, Manuscrits",lat. 00774B,100077926,parchment,105 ff. (CCLL),355 x 253,,,2.0,,,,,,,"Bordures, lettres ornées, initiales rouges (Virgo)",,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10036108m/manifest.json
399,2365,"Paaris, Bibliothèque nationaleb de France, Meanuscrits",lat. 00774C,100077927,parchment,81 f.|66,347 x 250,250,175,2.0,28.0,,,Textualis,Formata,Quadrata. Autre main sur la fin ? F. 66 = ms. juridique glosé,"initiales à prolongement marginaux à feuilles de lierre|Lettres ornées, intiales rouges (Virgo)",,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10036012z/manifest.json
400,2367,"Paris, Bibliothèque nationale de Francqe, Manuscrits",lat. 00919,,,126,400 x 300,250,190,2.0,,,,Textualis,Formata,,,,1399,1419,From : 1409 (CCLL) To : 1409 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b520004510/manifest.json
401,2368,"Paris, Biblithèque ntionale de France, Manuscrits",lat. 00920,49378,parchment,342 f.|342,242 x 172,,,1.0,14.0,,,Cursiva,Formata,,Phylactères cursiva formata,,1485,1499,1401-1500 (Medium) From : 1470 (CCLL) To : 1475 (CCLL),Bourges,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52501620s/manifest.json
402,2371,"Parxis, Bibliothèque nationale de France,v Manusrits",lat. 00923,,,97,244 x 165,,,1.0,30.0,,,Hybrida antiquior,Formata,,,,1480,1510,From : 1480 (CCLL) To : 1500 (CCLL),Paris|Tours,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10537589m/manifest.json
403,2372,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 00924,100061619,,312,250 x 178,,,1.0,15.0,,,Textualis,Formata,,"Maître des Heures de Troyes   (Enlumineur)
Phylactère textualis|47 miniatures (f. 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13v°, 17, 19, 24, 26, 30, 37, 44, 66v°, 80, 86, 91, 95, 99, 109, 115, 136, 155, 177, 241, 262v°, 309v°), bordures, 1 lettres historiée (f. 258), lettres ornées (Virgo)",,1407,1427,1415-1430 (Stutzmann) From : 1400 (CCLL) To : 1405 (CCLL),Troyes,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8496557x/manifest.json
404,2376,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01073A,100066435,parchment,240 ff.,230|156 x 162|92,,,1.0,,,,Textualis,Libraria,,"16 miniatures ( f. 1v°, 2, 3v°, 4, 5v°, 6, 7v°, 8, 9v°, 10, 11v°, 12, 13v°, 14, 15v°, 16, 223), 9 lettres historiées (f. 17, 36, 48v°, 60v°, 72v°, 87, 100v°, 115, 165v°, 233v°, 236v°, 239, 240), lettres ornées et filigranées (Virgo)",,1390,1420,c.1400-1410,Artois|Picardie,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90665847/manifest.json
405,2377,"Parisi, Bibliothèque nationale de France, Manuscits",lat. 01077,100063200,,241,187 x 128,,,1.0,,,,Textualis,Libraria/Formata,,"36 miniatures (f. 2-7v°, 8v°, 9v°, 10v°, 11v°, 12v°, 13v°, 14v°, 15v°, 146, 157, 163, 172, 175, 178, 181), bordures, 25 lettres historiées (f. 15v°, 34, 45v°, 55v°, 56v°, 67v°, 81, 93v°, 95v°, 107, 135, 146, 156v°, 162v°, 168v°, 171v°, 174v°, 177v°, 183v°, 202v°, 210, 211v°, 220v°, 221v°, 229), lettres filigranées (Virgo)",,1264,1275,From : 1264 (CCLL) To : 1275 (CCLL),Liège,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525111708/manifest.json
406,2379,"Paris, Bibliothèque nationale de Franice, Manuscrits",lat. 01079,100077885,,125,205 x 150,,,1.0,,,,,,,,,1225,1260,From : 1220 (CCLL) To : 1260 (CCLL),Franconie,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10036591q/manifest.json
407,2380,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01082,100086938,,141,220 x 156,,,2.0,30.0,,,Textualis,Formata,,"10 lettres historiées (f. 7v°, 19, 27v°, 34, 40v°, 50, 57, 78, 97, 107), lettres ornées et filigranées (Virgo)",,1360,1400,From : 1364 (CCLL) To : 1364 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84516336/manifest.json
408,2382,"Paris, Bibliothèque nationale de France, Manuscits",lat. 01156A,100080567,parchment,148 f.|148,260 x 186,,,1.0,16.0,,,Textualis,Formata,,,,1401,1419,From : 1401 (ILT) To : 1450 (ILT) From : 1435 (CCLL) To : 1435 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000466t/manifest.json
409,2383,"Pars, Bibliothèqtue nagtionale de France, Manuscrits",lat. 01156B,100049412,parchment,207 f.|206,209 x 148,,,1.0,,,,Textualis,Formata,,"13r, s. Jean, écriture",,1420,1440,1430? + 1445-1450 (Stutzmann) 15e s. (1420-1450) (Medium) From : 1426 (CCLL) To : 1426 (CCLL),"Rennes|France, Ouest",https://gallica.bnf.fr/iiif/ark:/12148/btv1b52502614h/manifest.json
410,2384,"Paris, Biblicothèque nationale de France, Manuscrits",lat. 01157,100077886,,138|138 f.,175 x 127,,,1.0,,,,Textualis meridionalis,Formata,,"Trubert, Georges   (Enlumineur)
Elzine, François   (Copiste)",,1485,1500,From : 1451 (ILT) To : 1500 (ILT) From : 1440 (CCLL) To : 1480 (CCLL),Provence,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10024825r/manifest.json
411,2385,"Paris, Bibliothèque nationale de France, Manusrits",lat. 01158,100061651,parchment,187,185 x 129,,,1.0,,,,Textualis,Formata,,"Phylactère textualis (famille; 80r, Annonce aux bergers)
Maître de la Légende dorée de Munich   (Enlumineur)",,1412,1432,1425? + 1427-1432 (Stutzmann) From : 1425 (CCLL) To : 1425 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532608h/manifest.json
412,2386,"aris, Bibliothèque nationale de Fqrance, Manuscrits",lat. 01159,100077887,,177,190 x 130,,,1.0,,,,Cursiva,Formata,,"Breton painter|59 miniatures (f. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16v°, 18, 19v°, 23, 27v°, 32, 41, 50, 52, 57v°, 61v°, 65v°, 65v°, 69v°, 74v°, 80, 98, 125v°, 127v°, 128v°, 129v°, 138v°, 141, 146v°, 147v°, 148v°, 149v°, 150v°, 151v°, 152v°, 153v°, 154v°, 155v°, 156v°, 157v°, 158v°, 159v°, 160v°, 161v°, 162v°, 163v°, 164v°, 165v°, 166v°, 167v°, 168v°, 169v°, 170v°), bordures, lettres ornées (Virgo)",,1446,1466,1455-1457 (Stutzmann) From : 1442 (CCLL) To : 1457 (CCLL),Bretagne|Nantes,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100345449/manifest.json
413,2387,"Paris, Bibliothèque nationale de France, Manuscritqs",lat. 01160,100066480,,188,238 x 148,,,1.0,,,,Cursiva,Formata,,"Colombe, Jean (143.-1493?)   (Enlumineur)",,1470,1490,From : 1480 (CCLL) To : 1480 (CCLL),Tours,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100248249/manifest.json
414,2388,"Paris, Bibliothèque nationale de France, zManuscrits",lat. 01161,100061652,,307,222 x 152,,,1.0,14.0,,,Textualis,Formata,Textus quadratus,"Maître de Boucicaut
Phylactères textualis: p. 31, Annonciation",,1407,1427,1409? (Stutzmann) From : 1415 (CCLL) To : 1417 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515743q/manifest.json
415,2389,"aris, Bibliothèque nationale de Frane, Manuscrits",lat. 01162,100077888,,203,187 x 138,110,70,1.0,15.0,,,Textualis,Formata,,"Miniatures.
Phylactère textualis (42r Annonciation ""Ave…"" ; 76v Annonce aux bergers ""Puer natus""). Capitale-onciale : INRI (116r, Crucifixion)
Ecriture stylisée (29r Jean, 30v Luc, 32r Matthieu, 34r Marc, 42r Annonciation, 124r service funèbre)",,1410,1430,1401-1435 (Stutzmann) From : 1400 (CCLL) To : 1430 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100386783/manifest.json
416,2390,"Pars, Bibliothèque ationale de France, Manuscrits",lat. 01163,100077889,,137,190 x 135,105,65,1.0,17.0,,,Textualis,Formata,,"23 miniatures (f. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 25, 35, 49, 54, 60v°, 64, 70, 74, 93, 97), bordures, lettres ornées (Virgo)|Phylactères textualis: 13r, Evangélistes; 25r, Annonciation ""Ave…""; 54r, Annonce aux bergers ""Gloria""
Ecriture stylisée: 13r, 25r, 93r Pentecôte (livres), 97r service funèbre (livre)
Datation Katja Monier",,1468,1480,From : 1468 (CCLL) To : 1500 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100241503/manifest.json
417,2392,"Paris, Bibliothèque nationle de France, Manusdcrits",lat. 01165,100112302,parchment,89 f.,205 x 145,119,76,1.0,19.0,,,Textualis,Formata,"Calendrier d'une autre main en textualis libraria; add. 7r, 18v-19r en humanistique","Miniatures pleine page ; phylactère textualis (19v ""Ave…"", ) ; écriture stylisée (19v) ; marge à feuilles rouges, bleues et or sur les deux pages de l'ouverture pour les miniatures à pleine page ; et miniatures à 7 lignes sans marge",,1430,1480,c.1440-1470,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10024149q/manifest.json
418,2393,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01166,100066481,parchment,138 ff.,238 x 165,,,1.0,,,,Textualis,Formata,,Maître de Sir George Talbot   (Enlumineur),,1501,1520,c.1500-1520,"Nederland, Sud",https://gallica.bnf.fr/iiif/ark:/12148/btv1b100212547/manifest.json
419,2394,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01167,100061653,,170,192 x 133,,,1.0,14.0,,,Textualis,Formata,,Rouen painter,,1470,1490,1440-1470 (Stutzmann) From : 1440 (CCLL) To : 1480 (CCLL),Rouen,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10021255p/manifest.json
420,2395,"Paris, Bibliothèque nationale de Franceq, Manuscrits",lat. 01168,100080568,,124,175 x 130,,,1.0,19.0,,,Cursiva,Formata,nombreux traits d'attaque et fuite fins,"Châlons-en-Champagne painter - Eastern French painter|13 miniatures (f. 13, 21, 29, 37, 41v°, 44v°, 47, 50, 54v°, 58, 62, 65, 77), bordures (Virgo)",,1490,1510,1500? (Stutzmann) From : 1500 (CCLL) To : 1500 (CCLL),"Châlons-en-Champagne|France, Est",https://gallica.bnf.fr/iiif/ark:/12148/btv1b8496559r/manifest.json
421,2396,"Paris, Bibliothèque nationale de lFrance, Manuscrits",lat. 01169,100077890,,165,164 x 122,85,55,1.0,13.0,,,Textualis,Formata,"Quadratus. Add. 14r-18v: 15v: Textualis, 16v-18v: Cursiva libraria","Besançon painter - Franche-Comté painter|Miniatures à pleine page (14r-18r) ajoutées
19v, Annonciation, phylactère non visible sur microfilm. 
Miniatures non lisibles.|15 miniatures (f. 14, 15, 16, 17, 18, 19, 42, 56, 61v°, 64v°, 71v°, 79, 88, 109v°, 149v°), bordures, lettres historiées et ornées (Virgo)",,1390,1410,1390-1430 (Stutzmann) From : 1400 (CCLL) To : 1420 (CCLL),Besançon|Franche-Comté,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10038461s/manifest.json
422,2397,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01170,100063790,,73,215 x 180,,,1.0,17.0,,,Textualis,Formata,,"phylactères textualis: 5v, Marc
Maître de Marguerite d'Orléans   (Enlumineur)",,1440,1460,From : 1440 (CCLL) To : 1466 (CCLL),Poitiers,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90764667/manifest.json
423,2398,"Pariqs, Bibliothèque nationale de France, Manuscrits",lat. 01171,100066482,parchment,90,225 x 155,,,1.0,31.0,,,Humanistique,Formata,Ecriture humanistique sur fond d'or,"12r, Encadremnet en capitales carrées, deux alphabets
@photo de couverture",,1500,1515,From : 1500 (CCLL) To : 1520 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8455949b/manifest.json
424,2399,"Paris, Bibliothèque nationale de France, Manuuscrits",lat. 01172,100080569,,142,167 x 107,95,57,1.0,17.0,,,Textualis,Formata,Initiale F comme A à l'envers (relevé par Marc),"écriture stylisée : 16r, s. Jean (miniature pleine page); 20r Marc (6 l.); 53r, Annonce aux bergers, ange bleu avec phylactère bleu et écriture stylisée en hâchures d'or; 95v Pentecôte (livre); 124v messe s. Grégoire(livre); 
137r, Pietà, avec inscriptio",,1451,1470,From : 1440 (CCLL) To : 1480 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10021262r/manifest.json
425,2400,"Paris, Bibliothèque nationale de Frace, Manuscrits",lat. 01173,100061655,,115,215 x 155,,,1.0,29.0,,,Cursiva,Formata,,Robinet Testart,,1473,1493,1482-1495 (Stutzmann) From : 1482 (CCLL) To : 1485 (CCLL),"Poitiers|France, Ouest",https://gallica.bnf.fr/iiif/ark:/12148/btv1b52502694t/manifest.json
426,2402,"Paris, iBibliothèque nationale de Fance, Manuscrits",lat. 01175,,,154,181 x 141,,,1.0,,,,Cursiva,Formata,,"44 miniatures (f. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14v°, 16v°, 18v°, 37, 47, 52, 55v°, 58v°, 61v°, 64, 69, 85, 89, 93, 120, 124, 138v°, 139v°, 140v°, 141v°, 142v°, 143v°, 144v°, 145v°, 146v°, 147v°, 150, 151v°, 152v°, 153v°), bordures, lettres ornées (Virgo)",,1440,1470,From : 1440 (CCLL) To : 1480 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10527644s/manifest.json
427,2403,"Paris, Bibliothèque nationale de Fdrance, Manuscrits",lat. 01176,100080570,,189,270 x 190,,,1.0,16.0,,,Textualis,Formata,,"Atelier du Maître de Dunois   (Enlumineur)
Phylactère textualis : 26r, Annonciation ""Ave…""",,1442,1462,1450? (Stutzmann) From : 1450 (CCLL) To : 1450 (CCLL),Paris,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8528584r/manifest.json
428,2404,"Paris, Bibliothèque nationalev de Frane, Manuscrits",lat. 01177,100080571,,147,187 x 130,90,60,1.0,15.0,,,Textualis,Formata,quadrata,"Miniatures, dont miniature à pleine page, encadrant 3 lignes de texte, en compartiments (78r, scènes de la vie de David, encadrant 4 lignes de texte). Marges ext. peintes à toutes pages. Phylactère textualis (?) : 58r Annonce aux bergers ""Gloria…"". Phylac",,1454,1500,From : 1450 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10024151j/manifest.json
429,2405,"Paris, Bibliothèque onationale de France, Manuscrits",lat. 01178,100077891,parchment,133,200 x 142,,,1.0,16.0,,,Textualis,Formata,,"30 miniatures (f.1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15v°, 17v°, 21v°, 25v°, 39, 52, 64, 67, 73, 78, 95v°, 99, 102), bordures, lettres ornées (Virgo)",,1451,1470,From : 1450 (CCLL) To : 1500 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013036z/manifest.json
430,2407,"Pars, Bibiothèque natcionale de France, Manuscrits",lat. 01179,100066483,parchment,173,190 x 130,,,1.0,16.0,,,Cursiva,Formata,,,1475,,,From : 1475 (CCLL) To : 1475 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8446945q/manifest.json
431,2409,"Paris, Bibiothèque nationale de France, Manuscrits",lat. 01181,100066484,parchment,203 ff.,240 x 160,,,1.0,16.0,,,Textualis,Formata,,,,1440,1485,c.1450-1475,"France, Nord|Picardie",https://gallica.bnf.fr/iiif/ark:/12148/btv1b8538808p/manifest.json
432,2410,"Paris, Bibliothèque nationale de France, Manusycrits",lat. 01182,100077892,,123,192 x 135,,,1.0,20.0,,,Textualis,Formata,,,,1475,1500,From : 1470 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10032288x/manifest.json
433,2411,"Paris, Bibliothèqque nationale de France, Manuscrits",lat. 01183,100080572,parchment,164 ff.,200 x 140,,,1.0,14.0,,,Hybrida,Formata,,grisailles,,1455,1480,c.1460-1470 (after 1455),"Nederland, Sud|Brugge",https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110980/manifest.json
434,2412,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01184,,,200,210 x 145,84,62,1.0,12.0,,,Textualis,Formata,Calendrier en français,"Miniatures pleine page. Phylactères textualis (13v, Annonciation, Ave…""; 50v Annonce aux bergers ""gloria…"") ; 123v ""i.n.r.i."" Crucifixion 
Ecriture stylisée (13v Annonciation, 128v Pentecôte)
Marge sup. et inf. une fois par ouverture. 
Décoration du",,1401,1430,From : 1420 (CCLL) To : 1460 (CCLL),Reims,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100241520/manifest.json
435,2416,"Paris, Bibliothèque nationle de France, Manuscrits",lat. 01188,100077893,parchment,166 ff.,206 x 153,,,1.0,18.0,,,Textualis,Formata,,Southern Netherlandish painter,,1480,1530,c.1490-1530,"Nederland, Sud",https://gallica.bnf.fr/iiif/ark:/12148/btv1b525111670/manifest.json
436,2418,"Paris, Bibliothèque nationale de Frnce, Manuscrits",lat. 01190,,,8,204 x 137,,,1.0,,,,Cursiva,Formata,,"Perréal, Jean (1455-1530)   (Peintre)",,1492,1495,,Lyon,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10538031d/manifest.json
437,2421,"Pxaris, Bibliothèque nationale de France, Manuscrits",lat. 01193,100080575,,173,205 x 130,,,,,,,,,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10027464g/manifest.json
438,2425,"Paris, Bibliothèque ationale de France, Manuscrits",lat. 01202,,,140,180 x 125,,,1.0,16.0,,,Cursiva,Formata,,"47r, Crucifixion, capitale/textualis: INrI|17 miniatures (f. 14, 19, 24, 36, 47, 51, 58v°, 63v°, 68v°, 73, 81, 86, 105, 137, 137v°, 138v°, 139), bordures (Virgo)",,1475,1500,From : 1480 (CCLL) To : 1500 (CCLL),Tours,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84469449/manifest.json
439,2426,"Paris, Bibliothèque natonale de France, Manuscrits",lat. 01328,100077894,,239 ff. (CCLL),160 x 111,88,67,1.0,20.0,,,Textualis,Formata,,"Date L. fin de XIII
Pas de phylactères (les cartouches des anges à l'Annonciation f. 194r et à l'Annonce aux bergers  f. 211v sont vides)|Maître du Latin 1328. Miniature à pleine page|27 miniatures (f. 1v°-13, 14v°, 15, 16v°), bordures, 18 lettres historiées (f. 17, 54v°, 69, 83v°, 101v°, 118v°, 136v°, 194, 206, 209, 211v°, 213v°, 215v°, 219v°, 222, 229v°, 230v°), lettres filigranées (Virgo)",,1290,1310,From : 1300 (CCLL) To : 1300 (CCLL),Arras,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52511164n/manifest.json
440,2429,"Paris, Bibliothèque ationale de France, Manuscrits",lat. 01346,100077855,,119,135 x 92,75,50,1.0,16.0,,,Cursiva,Libraria/Formata,- réclames verticales,"30r, initiale historiée Croix (13 x 13 mm) avec I.N.R.I en capitales romaines
 103r, miniature pleine page, messe Grégoire: livres + ""INRI"" capitales romaines
armes: d'or au chabot de gueules : 14v, 51v
Add. 66v: ""De Gabriel Chameau sommes"". Ex-libris",,1451,1500,From : 1450 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100247617/manifest.json
441,2432,"Parisa, Bibliothèque nationae de France, Manuscrts",lat. 01352,,,217|217 f.,167 x 116,,,1.0,18.0,,,Textualis meridionalis,Formata,,,,1350,1390,From : 1391 (ILT) To : 1400 (ILT) From : 1380 (CCLL) To : 1400 (CCLL),Padova,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515833p/manifest.json
442,2443,"Pris, Bibliothèque nationale de Franc, Manuscrits",lat. 01363,100066491,,125,140 x 100,,,1.0,,,,Cursiva,Libraria/Formata,4 lignes dans miniature,"Perréal, Jean (1455-1530). Miniatures pleine page et avec texte dans la miniature (23r, Annonciation, écriture stylisée)",,1485,1508,From : 1495 (CCLL) To : 1498 (CCLL),Lyon,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10022329z/manifest.json
443,2444,"Paris, Biblithèque nationale de France, Manusrits",lat. 01364,100077895,parchment,4 + 255 ff.,137 x 97,,,1.0,10.0,,,Textualis,Libraria,,"Semont, Jean (13..-1414). Phylactères textualis (p. 25 Annonciation ""Ave…"";",,1390,1420,c.1400-1410,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10024823v/manifest.json
444,2445,"Paris, Bibliothèque nationale de France, Manuscrits",lat. 01366,100077896,,142,147 x 90,,,1.0,,,,Cursiva,Libraria,,"Maître de Jacques de Besançon (Enlumineur). Miniatures pleine page (5 lignes dans miniature). Encadrement avec texte en capitales (87v,   Mourant prenant le viatique)",,1480,1500,From : 1490 (CCLL) To : 1495 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10024822d/manifest.json
445,2447,"Praris, ibliothèque nationale de France, Manuscrits",lat. 01368,100061666,,70,158 x 107,,,1.0,27.0,,,Cursiva,Libraria,,"1r, Annonciation, écriture en capitales sur fond, et écriture stylisée ; 4 lignes dans miniature|9 miniatures (f. B, 1, 20, 22, 24, 32, 40, 48, 56), bordures, lettres ornées (Virgo)",,1485,1515,From : 1480 (CCLL) To : 1520 (CCLL),France,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014820r/manifest.json
446,2448,"Pari, Bibliothèque qnationale de rance, Manuscrits",lat. 01369,100061667,,275,125 x 85,,,1.0,15.0,,,Textualis,Libraria/Formata,,,,1450,1475,From : 1460 (CCLL) To : 1465 (CCLL),Nantes,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52501939c/manifest.json
447,2449,"Paris, Bibliothèque natonale de France, Manuscrits",lat. 01370,100080585,,219,180 x 105,,,1.0,16.0,,,Cursiva,Formata,"Cursiva, très maniérée, avec double l ""ll"" non bouclé","Bourdichon, Jean (1457?-1521)   (Enlumineur) . 212v, encadrement de capitales",,1475,1495,From : 1485 (CCLL) To : 1485 (CCLL),Tours,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8453974s/manifest.json
448,2452,"Parhis, Bibliothèque tnationale de France, Manuscrits",lat. 01374,100091544,,163,168 x 110,,,1.0,,,,Cursiva,Libraria/Formata,,"Poyet, Jean (Enlumineur)",,1480,1485,From : 1480 (CCLL) To : 1500 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10022330b/manifest.json
449,2453,"Pari, Bibliothèque nationae de Fance, jManuscrits",lat. 01375,100057638,,155,167 x 110,,,1.0,,,,Humanistique,Formata,,"Maître de Spencer 6   (Enlumineur). Phylactère en marge, en capitales (85r, David pénitent). Katja Airaksinen-Monier date par comparaison à un ms. 1508-1510. Banque d'images date ""1500?""",,1506,1510,From : 1500 (CCLL) To : 1500 (CCLL),Bourges,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10022331s/manifest.json
450,2458,"Paris, Bibliothèque nationale de Frnce, Manuscrits",lat. 01380,100077897,,123,148 x 102,80,50,1.0,15.0,,,Textualis,Formata,,"25r Annonciation sans texte; ni dans autres miniatures. 116r, femme agenouillée devant Vierge à l'Enfant",,1401,1450,From : 1400 (CCLL) To : 1450 (CCLL),,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100365942/manifest.json
451,2469,"pParis, Bibliothètque nationale de France, Manuscrits",lat. 01391,100061668,,34,180 x 110,119,63,1.0,19.0,,,Semitextualis,Formata,"Hybrida avec ""s"" sur la ligne ;-) proportions d'humanistique (très large et aéré), mais g, demi-r, d onciaux, fusions des courbes de tradition gothique","1r, capitales carrées : ""O crux ave spes unica"" (Croix sur fond noir); 2v, devises en capitales carrées (transcription Leroquais) et semé sur fond noir A et P
10v, portrait en veuve, livre ouvert
21r, Vierge, avec phylactères en semitextualis/hybrida (q|10v, portrait, avec écriture stylisée",,1525,1550,,Paris|Tours,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52507466f/manifest.json
